A,B,C,D
60,3,52,1
14,41,7,85
74,16,49,97
92,87,44,51
83,29,51,15
53,14,64,99
15,58,3,70
84,18,71,18
18,42,36,25
59,26,55,1
66,76,77,93
26,56,28,84
57,31,24,1
95,72,63,79
15,34,3,22
89,15,84,23
61,2,18,2
66,56,2,87
60,32,87,87
87,11,56,95
95,79,32,27
46,62,60,55
26,44,79,87
13,6,71,96
49,97,27,53
71,81,38,41
11,66,78,3
70,68,57,50
40,80,43,46
42,70,39,75
81,91,27,76
93,13,58,2
96,33,97,28
88,23,52,18
40,33,53,47
61,47,26,16
51,26,57,88
41,86,76,45
17,80,98,26
64,25,74,33
44,52,20,99
63,90,18,99
25,13,56,93
97,3,83,65
17,79,93,1
85,78,29,85
53,17,37,19
6,98,11,68
13,89,54,44
43,16,3,56
1,60,74,54
44,78,8,87
92,21,65,45
11,21,4,48
19,23,52,73
22,88,61,63
7,44,44,84
31,51,6,94
75,27,43,54
68,35,84,11
56,26,67,32
0,98,51,34
49,73,11,42
11,93,25,91
50,39,56,36
9,67,95,29
39,80,22,47
54,42,25,2
43,77,21,24
99,0,61,45
97,34,23,62
4,24,99,66
83,18,61,87
75,39,71,88
48,32,64,99
21,14,69,85
32,88,4,85
38,87,48,48
69,52,68,0
8,52,19,32
71,40,9,24
97,9,30,96
38,30,23,13
75,87,15,28
15,26,29,55
4,36,99,74
74,45,1,50
99,54,82,84
32,54,44,2
35,62,33,64
5,28,23,50
85,11,14,86
72,84,13,31
42,18,46,3
25,99,21,70
73,89,36,80
21,19,41,55
75,81,84,32
12,37,44,67
65,95,33,46
